Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market sell,2024-02-12 13:02:06,US05606L1008,BYDDY,"BYD",EOF10200118096,0.0588240000,47.0300000000,USD,0.04271256,-7.92,"CZK",64.67,"CZK",,,0.10,"CZK",,
Market sell,2024-02-12 13:26:41,US64104Y1064,NTOIY,"Neste",EOF10200120598,0.0823870000,14.4100000000,USD,0.04268956,-6.43,"CZK",27.77,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 14:30:01,US7475251036,QCOM,"Qualcomm",EOF10200129120,0.0071125000,150.3400000000,USD,0.04270340,2.41,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 14:30:04,US0420682058,ARM,"ARM",EOF10200131871,0.0381309000,120.0100000000,USD,0.04271130,47.26,"CZK",106.98,"CZK",,,0.16,"CZK",,
Market sell,2024-02-12 14:30:06,US5949181045,MSFT,"Microsoft",EOF10200133859,0.0025432000,420.4500000000,USD,0.04270321,3.32,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 14:30:07,US64110L1061,NFLX,"Netflix",EOF10200134796,0.0019117000,559.3400000000,USD,0.04270328,4.64,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 14:30:15,US9311421039,WMT,"Walmart",EOF10200143269,0.0092204000,169.1700000000,USD,0.04272295,4.71,"CZK",36.46,"CZK",,,0.05,"CZK",,
Market buy,2024-02-12 14:31:52,US67066G1040,NVDA,"Nvidia",EOF10201111342,0.0085581000,724.4000000000,USD,0.04273151,,"CZK",145.30,"CZK",,,0.22,"CZK",,
Market buy,2024-02-12 14:31:52,US86800U3023,SMCI,"Super Micro Computer",EOF10201111346,0.0040655000,762.4300000000,USD,0.04273034,,"CZK",72.65,"CZK",,,0.11,"CZK",,
Market buy,2024-02-12 14:31:52,FR0000121329,HO,"Thales",EOF10201111349,0.0074398000,133.9000000000,EUR,0.03968881,,"CZK",25.14,"CZK",,,0.04,"CZK",,
Market buy,2024-02-12 14:31:53,GB0002634946,BA,"BAE Systems",EOF10201111372,0.1015796000,1216.0000000000,GBX,3.38784403,,"CZK",36.69,"CZK",0.18,"CZK",0.05,"CZK",,
Market buy,2024-02-12 14:32:04,GB00B63H8491,RR,"Rolls-Royce",EOF10201111742,0.2983026000,309.6000000000,GBX,3.38791214,,"CZK",27.30,"CZK",,,0.04,"CZK",,
Market buy,2024-02-12 14:32:17,US5398301094,LMT,"Lockheed Martin",EOF10201112107,0.0029006000,428.7700000000,USD,0.04273849,,"CZK",29.14,"CZK",,,0.04,"CZK",,
Market sell,2024-02-22 20:07:43,US86800U3023,SMCI,"Super Micro Computer",EOF10652228371,0.0010951000,975.0000000000,USD,0.04265771,5.49,"CZK",24.99,"CZK",,,0.04,"CZK",,
Market sell,2024-02-22 20:16:45,US64104Y1064,NTOIY,"Neste",EOF10652229204,0.0841410000,14.8000000000,USD,0.04269066,-5.79,"CZK",29.13,"CZK",,,0.04,"CZK",,
Market buy,2024-02-22 20:16:45,US67066G1040,NVDA,"Nvidia",EOF10652229228,0.0015946000,779.2800000000,USD,0.04268773,,"CZK",29.15,"CZK",,,0.04,"CZK",,
Market buy,2024-02-22 20:16:45,US57636Q1040,MA,"Mastercard",EOF10652229231,0.0051755000,471.7600000000,USD,0.04268520,,"CZK",57.29,"CZK",,,0.09,"CZK",,
Market buy,2024-02-22 20:16:45,US5949181045,MSFT,"Microsoft",EOF10652229234,0.0032422000,411.5300000000,USD,0.04268274,,"CZK",31.31,"CZK",,,0.05,"CZK",,
Market buy,2024-02-22 20:16:45,US7475251036,QCOM,"Qualcomm",EOF10652229237,0.0132417000,155.1300000000,USD,0.04267992,,"CZK",48.20,"CZK",,,0.07,"CZK",,
Market buy,2024-02-22 20:16:45,US5398301094,LMT,"Lockheed Martin",EOF10652229240,0.0027969000,427.7200000000,USD,0.04267891,,"CZK",28.07,"CZK",,,0.04,"CZK",,
Market buy,2024-02-22 20:16:45,US9311421039,WMT,"Walmart",EOF10652229244,0.0090183000,175.3200000000,USD,0.04268597,,"CZK",37.10,"CZK",,,0.06,"CZK",,
Market buy,2024-02-22 20:16:46,US62914V1061,NIO,"NIO",EOF10652229247,0.2025500000,5.7900000000,USD,0.04267701,,"CZK",27.52,"CZK",,,0.04,"CZK",,
Market buy,2024-02-23 08:00:02,FR0000121329,HO,"Thales",EOF10652248788,0.0080624000,134.5000000000,EUR,0.03943246,,"CZK",27.54,"CZK",,,0.04,"CZK",,
Market buy,2024-02-23 08:00:22,NL0000235190,AIR,"Airbus",EOF10652249786,0.0123355000,147.4600000000,EUR,0.03944043,,"CZK",46.19,"CZK",,,0.07,"CZK",,
Market buy,2024-02-23 08:00:48,GB0002634946,BA,"BAE Systems",EOF10652902991,0.0826142400,1235.5000000000,GBX,3.37198194,,"CZK",30.47,"CZK",0.15,"CZK",0.05,"CZK",,
Market buy,2024-03-07 08:05:12,FR0000120644,BN,"Danone",EOF11302145515,0.0224270000,58.6200000000,EUR,0.03942041,,"CZK",33.40,"CZK",,,0.05,"CZK",,
Market buy,2024-03-07 08:05:12,FR0000121329,HO,"Thales",EOF11302145613,0.0313215000,146.9500000000,EUR,0.03942350,,"CZK",117.28,"CZK",,,0.18,"CZK",0.35,"CZK"
Market buy,2024-03-07 08:05:13,NL0000235190,AIR,"Airbus",EOF11302145634,0.0250557000,157.9200000000,EUR,0.03942209,,"CZK",100.52,"CZK",,,0.15,"CZK",,
Market buy,2024-03-07 08:05:14,GB00B63H8491,RR,"Rolls-Royce",EOF11302145822,1.1822965000,380.0000000000,GBX,3.37393113,,"CZK",134.03,"CZK",0.67,"CZK",0.20,"CZK",,
Market buy,2024-03-07 08:05:14,GB0002634946,BA,"BAE Systems",EOF11302145873,0.3518188700,1277.0000000000,GBX,3.37393133,,"CZK",134.03,"CZK",0.67,"CZK",0.20,"CZK",,
Market buy,2024-03-07 13:00:28,US05606L1008,BYDDY,"BYD",EOF11303081277,0.1028780000,48.6000000000,USD,1.00000000,,"USD",5.00,"USD",,,,,,
Market buy,2024-03-07 13:05:26,US05606L1008,BYDDY,"BYD",EOF11303081853,0.0296180000,48.5300000000,USD,0.04297044,,"CZK",33.50,"CZK",,,0.05,"CZK",,
Market buy,2024-03-07 14:35:24,US7475251036,QCOM,"Qualcomm",EOF11350621904,0.0418719000,171.8000000000,USD,0.04300073,,"CZK",167.54,"CZK",,,0.25,"CZK",,
Market buy,2024-03-07 14:35:25,US67066G1040,NVDA,"Nvidia",EOF11350621920,0.0079520000,904.6200000000,USD,0.04300040,,"CZK",167.54,"CZK",,,0.25,"CZK",,
Market buy,2024-03-07 14:35:25,US5949181045,MSFT,"Microsoft",EOF11350621925,0.0089131000,403.5400000000,USD,0.04300325,,"CZK",83.77,"CZK",,,0.13,"CZK",,
Market buy,2024-03-07 14:35:25,US0420682058,ARM,"ARM",EOF11350621941,0.0550790000,143.6700000000,USD,0.04300184,,"CZK",184.30,"CZK",,,0.28,"CZK",,
Market buy,2024-03-07 14:35:25,US9311421039,WMT,"Walmart",EOF11350622014,0.0236360000,60.8500000000,USD,0.04299702,,"CZK",33.50,"CZK",,,0.05,"CZK",,
Market buy,2024-03-07 14:35:25,US57636Q1040,MA,"Mastercard",EOF11350622061,0.0152426000,471.9400000000,USD,0.04300073,,"CZK",167.54,"CZK",,,0.25,"CZK",,
Market buy,2024-03-07 14:35:25,US64110L1061,NFLX,"Netflix",EOF11350622173,0.0059834000,601.1200000000,USD,0.04300264,,"CZK",83.77,"CZK",,,0.13,"CZK",,
Market buy,2024-03-07 14:35:25,US62914V1061,NIO,"NIO",EOF11350622213,0.2527700000,5.6900000000,USD,0.04299734,,"CZK",33.50,"CZK",,,0.05,"CZK",,
Market buy,2024-03-07 14:35:26,US86800U3023,SMCI,"Super Micro Computer",EOF11350622353,0.0031718000,1133.9900000000,USD,0.04300322,,"CZK",83.77,"CZK",,,0.13,"CZK",,
Market buy,2024-03-07 14:35:28,US5398301094,LMT,"Lockheed Martin",EOF11350622996,0.0115880000,434.5500000000,USD,0.04300226,,"CZK",117.28,"CZK",,,0.18,"CZK",,
Market sell,2024-03-15 08:00:11,FR0000121329,HO,"Thales",EOF11652311034,0.0067855000,146.4000000000,EUR,0.03967241,1.46,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 08:00:28,NL0000235190,AIR,"Airbus",EOF11652311771,0.0061855000,160.6000000000,EUR,0.03967217,2.04,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 08:00:31,GB00B63H8491,RR,"Rolls-Royce",EOF11652312162,0.2193219000,387.0000000000,GBX,3.38967952,4.26,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 08:00:36,GB0002634946,BA,"BAE Systems",EOF11652313361,0.0656003000,1293.5000000000,GBX,3.38873754,2.16,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:30:01,US7475251036,QCOM,"Qualcomm",EOF11700256018,0.0064796000,167.1700000000,USD,0.04325857,2.30,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:30:04,US5949181045,MSFT,"Microsoft",EOF11700258244,0.0025892000,418.3000000000,USD,0.04327056,1.76,"CZK",24.99,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:30:06,US67066G1040,NVDA,"Nvidia",EOF11700260063,0.0012476000,868.2000000000,USD,0.04327472,1.50,"CZK",24.99,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:30:08,US5398301094,LMT,"Lockheed Martin",EOF11700262138,0.0025013000,433.0000000000,USD,0.04327059,-0.29,"CZK",24.99,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:30:10,US62914V1061,NIO,"NIO",EOF11700264185,0.2568400000,5.7000000000,USD,0.04327484,-5.40,"CZK",33.78,"CZK",,,0.05,"CZK",,
Market sell,2024-03-15 13:30:23,US9311421039,WMT,"Walmart",EOF11700269836,0.0178740000,60.6000000000,USD,0.04327464,0.17,"CZK",24.99,"CZK",,,0.04,"CZK",,
Market sell,2024-03-15 13:31:30,US57636Q1040,MA,"Mastercard",EOF11700270605,0.0022810000,475.0000000000,USD,0.04326976,1.57,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market buy,2024-03-15 13:32:47,US0420682058,ARM,"ARM",EOF11700271837,0.0135364000,129.4800000000,USD,0.04330845,,"CZK",40.53,"CZK",,,0.06,"CZK",,
Market buy,2024-03-15 13:32:48,US05606L1008,BYDDY,"BYD",EOF11700271840,0.0268240000,53.7500000000,USD,0.04331000,,"CZK",33.34,"CZK",,,0.05,"CZK",,
Market buy,2024-03-21 08:05:14,GB0002634946,BA,"BAE Systems",EOF11902104235,0.2928605800,1343.5000000000,GBX,3.39012742,,"CZK",116.81,"CZK",0.58,"CZK",0.17,"CZK",,
Market buy,2024-03-21 08:05:14,NL0000235190,AIR,"Airbus",EOF11902104258,0.0204871000,169.3400000000,EUR,0.03966257,,"CZK",87.60,"CZK",,,0.13,"CZK",,
Market buy,2024-03-21 08:05:18,FR0000121329,HO,"Thales",EOF11902104425,0.0261555000,154.3000000000,EUR,0.03966381,,"CZK",102.21,"CZK",,,0.15,"CZK",0.31,"CZK"
Market buy,2024-03-21 08:05:20,FR0000120644,BN,"Danone",EOF11902104547,0.0194020000,59.4200000000,EUR,0.03965830,,"CZK",29.11,"CZK",,,0.04,"CZK",,
Market buy,2024-03-21 08:05:25,GB00B63H8491,RR,"Rolls-Royce",EOF11902104989,0.9449044000,416.4000000000,GBX,3.39012745,,"CZK",116.81,"CZK",0.58,"CZK",0.17,"CZK",,
Market buy,2024-03-21 12:05:02,US05606L1008,BYDDY,"BYD",EOF11902128506,0.0225920000,55.8500000000,USD,0.04327034,,"CZK",29.20,"CZK",,,0.04,"CZK",,
Market buy,2024-03-21 13:35:58,US57636Q1040,MA,"Mastercard",EOF11950760378,0.0129148000,486.5800000000,USD,0.04310366,,"CZK",146.01,"CZK",,,0.22,"CZK",,
Market buy,2024-03-21 13:35:58,US0420682058,ARM,"ARM",EOF11950760381,0.0517666000,133.5300000000,USD,0.04310278,,"CZK",160.61,"CZK",,,0.24,"CZK",,
Market buy,2024-03-21 13:35:58,US67066G1040,NVDA,"Nvidia",EOF11950760387,0.0068537000,916.8900000000,USD,0.04310370,,"CZK",146.01,"CZK",,,0.22,"CZK",,
Market buy,2024-03-21 13:35:58,US64110L1061,NFLX,"Netflix",EOF11950760403,0.0049812000,630.7300000000,USD,0.04310320,,"CZK",73.00,"CZK",,,0.11,"CZK",,
Market buy,2024-03-21 13:35:58,US86800U3023,SMCI,"Super Micro Computer",EOF11950760408,0.0033855000,928.0000000000,USD,0.04310253,,"CZK",73.00,"CZK",,,0.11,"CZK",,
Market buy,2024-03-21 13:35:59,US62914V1061,NIO,"NIO",EOF11950760477,0.2468900000,5.0900000000,USD,0.04311046,,"CZK",29.19,"CZK",,,0.04,"CZK",,
Market buy,2024-03-21 13:35:59,US7475251036,QCOM,"Qualcomm",EOF11950760484,0.0368698000,170.4400000000,USD,0.04310370,,"CZK",146.01,"CZK",,,0.22,"CZK",,
Market buy,2024-03-21 13:35:59,US5949181045,MSFT,"Microsoft",EOF11950760523,0.0073000000,430.3800000000,USD,0.04310294,,"CZK",73.00,"CZK",,,0.11,"CZK",,
Market buy,2024-03-21 13:36:00,US5398301094,LMT,"Lockheed Martin",EOF11950760757,0.0099904000,440.3200000000,USD,0.04310183,,"CZK",102.21,"CZK",,,0.15,"CZK",,
Market buy,2024-03-21 13:36:01,US9311421039,WMT,"Walmart",EOF11950760840,0.0204900000,61.3300000000,USD,0.04310983,,"CZK",29.19,"CZK",,,0.04,"CZK",,
Market buy,2024-05-16 07:05:24,NL0000235190,AIR,"Airbus",EOF14504652958,0.0191413000,159.4400000000,EUR,0.04046524,,"CZK",75.53,"CZK",,,0.11,"CZK",,
Market buy,2024-05-16 07:05:26,FR0000121329,HO,"Thales",EOF14504653184,0.0213533000,166.2500000000,EUR,0.04046490,,"CZK",88.12,"CZK",,,0.13,"CZK",0.26,"CZK"
Market buy,2024-05-16 07:05:31,FR0000120644,BN,"Danone",EOF14504653507,0.0170110000,59.6200000000,EUR,0.04047070,,"CZK",25.10,"CZK",,,0.04,"CZK",,
Market buy,2024-05-16 07:05:37,GB0002634946,BA,"BAE Systems",EOF14504653887,0.2529777200,1373.5000000000,GBX,3.47221843,,"CZK",100.72,"CZK",0.50,"CZK",0.15,"CZK",,
Market buy,2024-05-16 07:05:42,GB00B63H8491,RR,"Rolls-Royce",EOF14504654096,0.8127833000,427.5000000000,GBX,3.47221805,,"CZK",100.72,"CZK",0.50,"CZK",0.15,"CZK",,
Market buy,2024-05-16 12:35:52,US05606L1008,BYDDY,"BYD",EOF14504689216,0.0192580000,57.4300000000,USD,0.04399311,,"CZK",25.18,"CZK",,,0.04,"CZK",,
Market buy,2024-05-16 13:35:25,US5949181045,MSFT,"Microsoft",EOF14550511631,0.0065168000,423.7300000000,USD,0.04393577,,"CZK",62.94,"CZK",,,0.09,"CZK",,
Market buy,2024-05-16 13:35:25,US64110L1061,NFLX,"Netflix",EOF14550511640,0.0044930000,614.6000000000,USD,0.04393632,,"CZK",62.94,"CZK",,,0.09,"CZK",,
Market buy,2024-05-16 13:35:26,US47215P1066,JD,"JD.com",EOF14550511649,0.1510360000,32.9100000000,USD,0.04393313,,"CZK",113.31,"CZK",,,0.17,"CZK",,
Market buy,2024-05-16 13:35:26,US7475251036,QCOM,"Qualcomm",EOF14550511662,0.0284779000,193.9500000000,USD,0.04393325,,"CZK",125.91,"CZK",,,0.19,"CZK",,
Market buy,2024-05-16 13:35:26,US67066G1040,NVDA,"Nvidia",EOF14550511676,0.0034954000,948.0000000000,USD,0.04393581,,"CZK",75.53,"CZK",,,0.11,"CZK",,
Market buy,2024-05-16 13:35:26,US86800U3023,SMCI,"Super Micro Computer",EOF14550511730,0.0011825000,934.0000000000,USD,0.04393217,,"CZK",25.18,"CZK",,,0.04,"CZK",,
Market buy,2024-05-16 13:35:26,US57636Q1040,MA,"Mastercard",EOF14550511739,0.0119603000,461.8000000000,USD,0.04393307,,"CZK",125.91,"CZK",,,0.19,"CZK",,
Market buy,2024-05-16 13:35:27,US9311421039,WMT,"Walmart",EOF14550511768,0.0173330000,63.7200000000,USD,0.04393232,,"CZK",25.18,"CZK",,,0.04,"CZK",,
Market buy,2024-05-16 13:35:29,US0420682058,ARM,"ARM",EOF14550511986,0.0527395000,115.2000000000,USD,0.04393369,,"CZK",138.50,"CZK",,,0.21,"CZK",,
Market buy,2024-05-16 13:35:38,US5398301094,LMT,"Lockheed Martin",EOF14550512715,0.0083362000,463.7600000000,USD,0.04393177,,"CZK",88.13,"CZK",,,0.13,"CZK",,
Market sell,2024-06-07 13:30:02,US86800U3023,SMCI,"Super Micro Computer",EOF15650463644,0.0035297000,763.0000000000,USD,0.04402748,-16.17,"CZK",61.08,"CZK",,,0.09,"CZK",,
Market sell,2024-06-07 13:30:05,US0420682058,ARM,"ARM",EOF15650469271,0.0085845000,136.5600000000,USD,0.04402175,8.18,"CZK",26.59,"CZK",,,0.04,"CZK",,
Market sell,2024-06-07 13:30:06,US05606L1008,BYDDY,"BYD",EOF15650472317,0.0190010000,58.0100000000,USD,0.04401948,2.61,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-06-07 13:30:06,US67066G1040,NVDA,"Nvidia",EOF15650472298,0.0247772700,1197.2300000000,USD,0.04402310,182.81,"CZK",672.82,"CZK",,,1.01,"CZK",,
Market sell,2024-06-07 13:30:07,US7475251036,QCOM,"Qualcomm",EOF15650472907,0.0206176000,209.1700000000,USD,0.04402841,20.79,"CZK",97.80,"CZK",,,0.15,"CZK",,
Market sell,2024-06-07 13:30:22,US62914V1061,NIO,"NIO",EOF15650474286,0.7883300000,4.8200000000,USD,0.04403465,-27.72,"CZK",86.16,"CZK",,,0.13,"CZK",,
Market buy,2024-06-07 13:31:24,GB0002634946,BA,"BAE Systems",EOF15650475892,0.1522428500,1400.0000000000,GBX,3.46006477,,"CZK",62.00,"CZK",0.31,"CZK",0.09,"CZK",,
Market buy,2024-06-07 13:31:24,FR0000121329,HO,"Thales",EOF15650475931,0.0215581000,173.3500000000,EUR,0.04065596,,"CZK",92.34,"CZK",,,0.14,"CZK",0.28,"CZK"
Market buy,2024-06-07 13:31:24,US47215P1066,JD,"JD.com",EOF15650475934,0.6871210000,29.4600000000,USD,0.04403529,,"CZK",460.38,"CZK",,,0.69,"CZK",,
Market buy,2024-06-07 13:31:25,NL0000235190,AIR,"Airbus",EOF15650475943,0.0136172000,149.1200000000,EUR,0.04066073,,"CZK",50.01,"CZK",,,0.07,"CZK",,
Market buy,2024-06-07 13:31:25,US57636Q1040,MA,"Mastercard",EOF15650475956,0.0065519000,449.9000000000,USD,0.04403495,,"CZK",67.04,"CZK",,,0.10,"CZK",,
Market buy,2024-06-07 13:31:25,GB00B63H8491,RR,"Rolls-Royce",EOF15650475969,0.7498603000,454.6000000000,GBX,3.46007401,,"CZK",99.16,"CZK",0.49,"CZK",0.15,"CZK",,
Limit buy,2024-08-20 13:30:51,US7731211089,RKLB,"Rocket Lab Corporation",EOF19300802277,2.0000000000,6.9900000000,USD,1.00000000,,"USD",13.98,"USD",,,,,,
Market buy,2024-08-22 07:05:15,NL0000235190,AIR,"Airbus",EOF19352640807,0.0455664000,139.2800000000,EUR,0.03990749,,"CZK",159.27,"CZK",,,0.24,"CZK",,
Market buy,2024-08-22 07:05:15,FR0000121329,HO,"Thales",EOF19352640840,0.0641534000,147.9500000000,EUR,0.03990706,,"CZK",238.91,"CZK",,,0.36,"CZK",0.71,"CZK"
Market buy,2024-08-22 07:05:18,GB0002634946,BA,"BAE Systems",EOF19352640926,0.6116449500,1319.0000000000,GBX,3.39888645,,"CZK",238.91,"CZK",1.19,"CZK",0.36,"CZK",,
Market buy,2024-08-22 07:05:21,FR0000120644,BN,"Danone",EOF19352641097,0.0348720000,60.4800000000,EUR,0.03990650,,"CZK",53.09,"CZK",,,0.08,"CZK",0.16,"CZK"
Market buy,2024-08-22 07:05:22,GB00B63H8491,RR,"Rolls-Royce",EOF19352641172,1.8087800000,495.6000000000,GBX,3.39892078,,"CZK",265.46,"CZK",1.32,"CZK",0.40,"CZK",,
Market buy,2024-08-22 12:45:11,US05606L1008,BYDDY,"BYD",EOF19353825307,0.0403220000,58.3600000000,USD,0.04439147,,"CZK",53.09,"CZK",,,0.08,"CZK",,
Market buy,2024-08-22 13:35:37,US5949181045,MSFT,"Microsoft",EOF19353849625,0.0138000000,426.4400000000,USD,0.04440407,,"CZK",132.73,"CZK",,,0.20,"CZK",,
Market buy,2024-08-22 13:35:37,US64110L1061,NFLX,"Netflix",EOF19353849676,0.0084553000,696.0000000000,USD,0.04440420,,"CZK",132.73,"CZK",,,0.20,"CZK",,
Market buy,2024-08-22 13:35:37,US9311421039,WMT,"Walmart",EOF19353849735,0.0310560000,75.7900000000,USD,0.04440170,,"CZK",53.09,"CZK",,,0.08,"CZK",,
Market buy,2024-08-22 13:35:37,US7475251036,QCOM,"Qualcomm",EOF19353849814,0.0676886000,173.8800000000,USD,0.04440388,,"CZK",265.46,"CZK",,,0.40,"CZK",,
Market buy,2024-08-22 13:35:37,US67066G1040,NVDA,"Nvidia",EOF19353849817,0.0090404000,130.1600000000,USD,0.04440371,,"CZK",26.54,"CZK",,,0.04,"CZK",,
Market buy,2024-08-22 13:35:37,US86800U3023,SMCI,"Super Micro Computer",EOF19353849856,0.0037752000,623.4900000000,USD,0.04440293,,"CZK",53.09,"CZK",,,0.08,"CZK",,
Market buy,2024-08-22 13:35:38,US47215P1066,JD,"JD.com",EOF19353849876,0.3943630000,26.8600000000,USD,0.04440406,,"CZK",238.91,"CZK",,,0.36,"CZK",,
Market buy,2024-08-22 13:35:38,US0420682058,ARM,"ARM",EOF19353849954,0.0971521000,133.2600000000,USD,0.04440420,,"CZK",292.00,"CZK",,,0.44,"CZK",,
Market buy,2024-08-22 13:35:47,US5398301094,LMT,"Lockheed Martin",EOF19400401028,0.0148389000,555.2400000000,USD,0.04440633,,"CZK",185.82,"CZK",,,0.28,"CZK",,
Market buy,2024-08-22 13:35:48,US57636Q1040,MA,"Mastercard",EOF19400401103,0.0251018000,468.9100000000,USD,0.04440687,,"CZK",265.46,"CZK",,,0.40,"CZK",,
Market sell,2024-08-30 07:06:06,GB00B63H8491,RR,"Rolls-Royce",EOF19702185795,0.7170648000,500.0000000000,GBX,3.35453218,22.88,"CZK",106.72,"CZK",,,0.16,"CZK",,
Market sell,2024-08-30 07:06:10,GB0002634946,BA,"BAE Systems",EOF19702185831,0.0882623400,1374.5000000000,GBX,3.35499409,3.09,"CZK",36.11,"CZK",,,0.05,"CZK",,
Market sell,2024-08-30 07:06:10,FR0000120644,BN,"Danone",EOF19702185838,0.1126160000,62.4000000000,EUR,0.03991161,8.86,"CZK",175.81,"CZK",,,0.26,"CZK",,
Market sell,2024-08-30 07:06:17,FR0000121329,HO,"Thales",EOF19702185880,0.0142002000,152.8000000000,EUR,0.03990052,1.38,"CZK",54.30,"CZK",,,0.08,"CZK",,
Market sell,2024-08-30 13:30:00,US47215P1066,JD,"JD.com",EOF19703780394,0.2567710000,27.2600000000,USD,0.04416415,-10.54,"CZK",158.25,"CZK",,,0.24,"CZK",,
Market sell,2024-08-30 13:30:02,US5398301094,LMT,"Lockheed Martin",EOF19703786284,0.0077595000,563.0000000000,USD,0.04416294,15.45,"CZK",98.77,"CZK",,,0.15,"CZK",,
Market sell,2024-08-30 13:30:02,US57636Q1040,MA,"Mastercard",EOF19703787713,0.0063051000,480.8000000000,USD,0.04416509,2.30,"CZK",68.54,"CZK",,,0.10,"CZK",,
Market sell,2024-08-30 13:30:02,US64110L1061,NFLX,"Netflix",EOF19703788193,0.0015792000,700.1500000000,USD,0.04417406,3.54,"CZK",24.99,"CZK",,,0.04,"CZK",,
