Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2024-01-18 08:05:12,GB0002634946,BA,"BAE Systems",EOF8951957479,0.2212873800,1177.5000000000,GBX,3.46912381,,"CZK",75.60,"CZK",0.38,"CZK",0.11,"CZK",,
Market buy,2024-01-18 08:05:13,NL0000235190,AIR,"Airbus",EOF8951957518,0.0160721000,147.7400000000,EUR,0.04044442,,"CZK",58.80,"CZK",,,0.09,"CZK",,
Market buy,2024-01-18 08:05:13,GB00B63H8491,RR,"Rolls-Royce",EOF8951957579,0.9784596000,295.9000000000,GBX,3.46904140,,"CZK",84.01,"CZK",0.42,"CZK",0.13,"CZK",,
Market buy,2024-01-18 08:05:15,FR0000121329,HO,"Thales",EOF8951957891,0.0225968000,134.7000000000,EUR,0.04044364,,"CZK",75.60,"CZK",,,0.11,"CZK",0.23,"CZK"
Market buy,2024-01-18 08:05:25,FR0000120644,BN,"Danone",EOF8951958389,0.0166050000,61.1000000000,EUR,0.04043704,,"CZK",25.13,"CZK",,,0.04,"CZK",,
Market buy,2024-01-18 13:18:10,US64104Y1064,NTOIY,"Neste",EOF8951982516,0.1025770000,18.0000000000,USD,0.04402446,,"CZK",42.00,"CZK",,,0.06,"CZK",,
Market buy,2024-01-18 14:35:05,US5949181045,MSFT,"Microsoft",EOF9000201246,0.0056387000,391.7000000000,USD,0.04389266,,"CZK",50.40,"CZK",,,0.08,"CZK",,
Market buy,2024-01-18 14:35:05,US0420682058,ARM,"ARM",EOF9000201249,0.0560820000,72.2100000000,USD,0.04388946,,"CZK",92.41,"CZK",,,0.14,"CZK",,
Market buy,2024-01-18 14:35:06,US62914V1061,NIO,"NIO",EOF9000201286,0.3429600000,6.4400000000,USD,0.04389233,,"CZK",50.40,"CZK",,,0.08,"CZK",,
Market buy,2024-01-18 14:35:06,US7475251036,QCOM,"Qualcomm",EOF9000201298,0.0280839000,144.2000000000,USD,0.04388965,,"CZK",92.41,"CZK",,,0.14,"CZK",,
Market buy,2024-01-18 14:35:06,US57636Q1040,MA,"Mastercard",EOF9000201336,0.0076952000,430.5400000000,USD,0.04388781,,"CZK",75.60,"CZK",,,0.11,"CZK",,
Market buy,2024-01-18 14:35:07,US64110L1061,NFLX,"Netflix",EOF9000201674,0.0037958000,484.9000000000,USD,0.04388610,,"CZK",42.00,"CZK",,,0.06,"CZK",,
Market buy,2024-01-18 14:35:08,US5398301094,LMT,"Lockheed Martin",EOF9000202308,0.0072657000,455.9900000000,USD,0.04388775,,"CZK",75.60,"CZK",,,0.11,"CZK",,
Market sell,2024-02-12 11:35:54,NL0000235190,AIR,"Airbus",EOF10200110773,0.0066528000,149.1400000000,EUR,0.03962454,1.73,"CZK",25.00,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 11:35:55,DE0006599905,MRK,"Merck",EOF10200110781,0.0077418000,152.9500000000,EUR,0.03964205,2.61,"CZK",29.83,"CZK",,,0.04,"CZK",,
Market sell,2024-02-12 11:35:55,FR0000120644,BN,"Danone",EOF10200110785,0.0198140000,60.8700000000,EUR,0.03963451,1.66,"CZK",30.38,"CZK",,,0.05,"CZK",,
Market sell,2024-02-12 11:35:57,CH0012005267,NOVN,"Novartis",EOF10200110791,0.0146500000,87.1200000000,CHF,0.03736264,2.36,"CZK",34.11,"CZK",,,0.05,"CZK",,
